global_sweep,window,window_sweep,degree_min,degree_max,window_terms,cumulative_terms,u_rmse,v_rmse,p_rmse,px_rmse,py_rmse,score,u_step,p_after_u_step,v_step,p_after_v_step,is_best
508,2,128,2,7,116,120,4.147957571645113e-05,3.74204452903042e-05,0.006247637512515006,0.0007679589809224366,0.0007550433978266006,0.00023120025888165907,0.00015309197836684246,0.000273246995095667,0.00011896052123748044,0.0002683117398641833,1
509,2,129,2,7,116,120,4.144936287072848e-05,3.738816023879822e-05,0.0062476382766572325,0.0007670434393467377,0.0007540526005981278,0.00023094712710401328,0.00015300936139994454,0.0002721849612108285,0.00011987945483695157,0.0002706488349339769,1
510,2,130,2,7,116,120,4.141942269212867e-05,3.735610799798564e-05,0.006247638732008282,0.0007661298934836264,0.0007530636514333571,0.00023069488518181268,0.00015291923283668947,0.00027112622558768965,0.00012077340349286585,0.00027292632384376365,1
511,2,131,2,7,116,120,4.138974739272883e-05,3.732428468976537e-05,0.006247638882539871,0.0007652183190932824,0.0007520765294464097,0.00023044351693646343,0.00015282176219928137,0.00027007075210239997,0.00012164296019659542,0.00027514558142734287,1
512,2,132,2,7,116,120,4.1360329476286135e-05,3.7292686487513436e-05,0.006247638732227186,0.0007643086924601919,0.0007510912144166352,0.0002301930066514823,0.00015271711771325258,0.0002690185102943577,0.00012248870268898314,0.0002773079465086169,1
513,2,133,2,7,116,120,4.13311617259245e-05,3.726130961687972e-05,0.006247638285045368,0.0007634009903804955,0.0007501076867658822,0.000229943339057442,0.00015260546690690555,0.0002679694767200045,0.00012331119462475262,0.0002794147246648965,1
514,2,134,2,7,116,120,4.130223719240801e-05,3.723015035644801e-05,0.00624763754496624,0.0007624951901495848,0.0007491259275364727,0.00022969449931746177,0.000152486975816456,0.0002669236329759497,0.00012411098546939546,0.00028146718820486536,1
515,2,135,2,7,116,120,4.127354918296636e-05,3.7199205038315144e-05,0.006247636515955236,0.0007615912695503217,0.000748145918369994,0.0002294464730133131,0.0001523618084173284,0.00026588096435027235,0.0001248886109603636,0.0002834665773377469,1
516,2,136,2,7,116,120,4.124509125061607e-05,3.716847004854375e-05,0.006247635201968531,0.0007606892068410733,0.0007471676414868834,0.0002291992461319555,0.00015223012820433156,0.0002648414632284798,0.00012564459331412836,0.000285414100781878,1
517,2,137,2,7,116,120,4.12168571839968e-05,3.7137941827532746e-05,0.006247633606950354,0.0007597889807445601,0.0007461910796667056,0.00022895280505265612,0.00015209209572973102,0.0002638051234687881,0.000126379441424974,0.0002873109363364778,1
518,2,138,2,7,116,120,4.118884099765781e-05,3.710761687028749e-05,0.006247631734830486,0.0007588905704366178,0.0007452162162291964,0.00022870713653452672,0.00015194787026027835,0.00026277194391949175,0.00012709365155791374,0.0002891582325407688,1
519,2,139,2,7,116,120,4.1161036922788775e-05,3.7077491726607604e-05,0.006247629589521957,0.0007579939555353082,0.0007442430350159059,0.00022846222770451778,0.00015179760991047606,0.0002617419287116015,0.00012778770713575374,0.0002909571082937006,1
520,2,140,2,7,116,120,4.113343939837549e-05,3.704756300121038e-05,0.0062476271749188446,0.0007570991160905666,0.0007432715203724776,0.0002282180660458903,0.00015164146980181363,0.0002607150828455704,0.00012846207942390734,0.0002927086544781885,1
521,2,141,2,7,116,120,4.110604306275729e-05,3.701782735375121e-05,0.0062476244948942985,0.0007562060325738404,0.0007423016571316,0.00022797463938705254,0.0001514796033813236,0.0002596914150909,0.00012911722794054843,0.0002944139349604477,1
522,2,142,2,7,116,120,4.107884274555258e-05,3.698828149880968e-05,0.006247621553298684,0.0007553146858679622,0.0007413334305967048,0.00022773193589082898,0.00015131216295608462,0.00025867093903115347,0.00012975360006405937,0.000296073985765865,1
523,2,143,2,7,116,120,4.10518334599525e-05,3.6958922205787023e-05,0.006247618353957823,0.0007544250572575851,0.0007403668265258249,0.00022748994404408056,0.00015113929757349574,0.0002576536681762857,0.00013037163218906678,0.00029768981774701037,1
524,2,144,2,7,116,120,4.1025010395364244e-05,3.6929746298752626e-05,0.006247614900671469,0.0007535371284196351,0.0007394018311164443,0.00022724865264772483,0.0001509611547255623,0.00025663961960784346,0.00013097174951250001,0.00029926241614813663,1
525,2,145,2,7,116,120,4.0998368910364045e-05,3.690075065624321e-05,0.006247611197211774,0.0007526508814139618,0.0007384384309908413,0.00022700805080708757,0.0001507778797079773,0.00025562881244752764,0.00013155436645592472,0.00030079274160031347,1
526,2,146,2,7,116,120,4.097190452597182e-05,3.687193221100011e-05,0.006247607247322018,0.0007517662986744223,0.0007374766131815276,0.00022676812792256693,0.00015058961607370298,0.00025462126863313783,0.00013211988699980416,0.0003022817309114456,1
527,2,147,2,7,116,120,4.094561291921907e-05,3.6843287949673355e-05,0.006247603054715348,0.0007508833630001043,0.000736516365117769,0.00022652887368067976,0.0001503965041706068,0.0002536170096296782,0.00013266870466652957,0.0003037302970738478,1
528,2,148,2,7,116,120,4.0919489916994227e-05,3.681481491246421e-05,0.006247598623073657,0.0007500020575466994,0.0007355576746121131,0.0002262902780453397,0.0001501986833861088,0.0002526160612209226,0.00013320120318905984,0.00030513933078043875,1
529,2,149,2,7,116,120,4.089353149016781e-05,3.678651019275067e-05,0.006247593956046563,0.000749122365818245,0.0007346005298477863,0.00022605233124952162,0.00014999628945403385,0.0002516184473469012,0.00013371775669011448,0.0003065097008629833,1
530,2,150,2,7,116,120,4.08677337479433e-05,3.675837093666115e-05,0.006247589057250506,0.0007482442716589315,0.0007336449193660455,0.00022581502378710218,0.00014978945768573485,0.0002506241972647924,0.00013421872976073464,0.00030784225449996154,1
531,2,151,2,7,116,120,4.0842092932487795e-05,3.67303943426194e-05,0.006247583930267899,0.0007473677592452067,0.0007326908320545109,0.00022557834640507898,0.00014957831981981276,0.00024963333825651137,0.00013470447773938717,0.0003091378178490125,1
532,2,152,2,7,116,120,4.081660541376934e-05,3.670257766086679e-05,0.006247578578646388,0.0007464928130781815,0.0007317382571354287,0.00022534229009599715,0.00014936300519184217,0.00024864589818916034,0.00013517534713570762,0.00031039719702811677,1
533,2,153,2,7,116,120,4.079126768461673e-05,3.667491819294265e-05,0.006247573005898173,0.0007456194179759098,0.0007307871841546242,0.00022510684609061278,0.00014914364212063576,0.00024766190842897407,0.00013563167585976297,0.00031162117863630685,1
534,2,154,2,7,116,120,4.076607635599829e-05,3.6647413291158515e-05,0.006247567215499422,0.0007447475590662346,0.0007298376029709266,0.0002248720058508729,0.00014892035567320224,0.00024668139873596184,0.00013607379307039704,0.0003128105294387352,1
535,2,155,2,7,116,120,4.074102815249568e-05,3.6620060358030306e-05,0.00624756121088977,0.000743877221779585,0.0007288895037453932,0.00022463776106302382,0.0001486932690902571,0.0002457044003258829,0.00013650202014464782,0.00031396599853211445,1
536,2,156,2,7,116,120,4.071611990796499e-05,3.659285684570802e-05,0.006247554995471852,0.000743008391842052,0.000727942876931606,0.00022440410363103882,0.00014846250320103675,0.0002447309444071784,0.00013691667012904807,0.0003150883161544553,1
537,2,157,2,7,116,120,4.06913485613884e-05,3.656580025537796e-05,0.006247548572610904,0.0007421410552685711,0.0007269977132659713,0.00022417102567022062,0.00014822817666624492,0.00024376106261279993,0.0001373180484097476,0.00031617819516537314,1
538,2,158,2,7,116,120,4.066671115289e-05,3.653888813665317e-05,0.006247541945634453,0.0007412751983563974,0.0007260540037582069,0.00022393851950100363,0.0001479904061795222,0.0002427947873126104,0.00013770645285269,0.0003172363313888367,1
539,2,159,2,7,116,120,4.06422048199239e-05,3.651211808694699e-05,0.006247535117832035,0.0007404108076785335,0.0007251117396824333,0.0002237065776429676,0.00014774930606725877,0.00024183215062477512,0.00013808217390669158,0.0003182634038413817,1
540,2,160,2,7,116,120,4.061782679361788e-05,3.648548775083786e-05,0.006247528092454982,0.0007395478700775595,0.0007241709125684726,0.00022347519280905897,0.00014750498836437829,0.00024087318440400336,0.0001384454949330962,0.00031926007547005455,1
541,2,161,2,7,116,120,4.0593574395271156e-05,3.645899481942145e-05,0.006247520872716244,0.0007386863726595423,0.0007232315141933199,0.00022324435789997885,0.00014725756318427927,0.00023991792103393618,0.00013879669228792323,0.0003202269933544032,1
542,2,162,2,7,116,120,4.056944503298844e-05,3.6432637029654395e-05,0.0062475134617902784,0.0007378263027879824,0.000722293536573003,0.00022301406599874136,0.00014700713828964687,0.00023896639226685153,0.00013913603560748307,0.0003211647893437581,1
543,2,163,2,7,116,120,4.054543619846484e-05,3.6406412163692495e-05,0.006247505862812942,0.0007369676480780374,0.0007213569719547808,0.00022278431036543915,0.00014675381924087843,0.0002380186295232637,0.0001394637878661086,0.00032207408018346387,1
544,2,164,2,7,116,120,4.052154546388762e-05,3.638031804821536e-05,0.00624749807888148,0.0007361103963908545,0.0007204218128096394,0.0002225550844321524,0.00014649771009259122,0.0002370746652472405,0.00013978020592860153,0.00032295546875690193,1
545,2,165,2,7,116,120,4.0497770478974135e-05,3.6354352553762135e-05,0.006247490113054493,0.0007352545358280371,0.0007194880518245957,0.00022232638179799956,0.00014623891175073565,0.00023613452923730438,0.00014008554004652304,0.00032380954296294304,1
546,2,166,2,7,116,120,4.04741089681248e-05,3.632851359404375e-05,0.006247481968352017,0.0007344000547262824,0.0007185556818959291,0.00022209819622438968,0.00014597752427133862,0.00023519825355312182,0.00014038003476105995,0.00032463687773870003,1
547,2,167,2,7,116,120,4.04505587276908e-05,3.6302799125268805e-05,0.0062474736477555436,0.0007335469416520751,0.0007176246961221737,0.0002218705216303845,0.00014571364469073212,0.0002342658676590419,0.00014066392843281478,0.0003254380340028358,1
548,2,168,2,7,116,120,4.042711762335992e-05,3.62772071454568e-05,0.006247465154208132,0.0007326951853965882,0.0007166950877975043,0.00022164335208822597,0.00014544736844445864,0.00023333740147278106,0.00014093745395343463,0.00032621356024416963,1
549,2,169,2,7,116,120,4.0403783587630924e-05,3.625173569375887e-05,0.006247456490614536,0.0007318447749706925,0.0007157668504052809,0.00022141668181898714,0.00014517878909390126,0.0002324128846120908,0.00014120083857197018,0.0003269639921512,1
550,2,170,2,7,116,120,4.0380554617404557e-05,3.622638284977185e-05,0.006247447659841357,0.0007309956996000351,0.0007148399776119109,0.00022119050518837102,0.00014490799824751625,0.00023149234616096944,0.00014145430422760912,0.00032768985332958363,1
551,2,171,2,7,116,120,4.0357428771661344e-05,3.6201146732858904e-05,0.006247438664717231,0.0007301479487203333,0.0007139144632607573,0.0002209648167026293,0.00014463508509467686,0.0002305758135418618,0.00014169806724622028,0.000328391654648699,1
552,2,172,2,7,116,120,4.033440416923403e-05,3.617602550146761e-05,0.006247429508032996,0.000729301511972709,0.0007129903013664038,0.00022073961100461291,0.00014436013736472187,0.000229663314530741,0.00014193233935434863,0.0003290698965001819,1
553,2,173,2,7,116,120,4.031147898666984e-05,3.6151017352459727e-05,0.006247420192541941,0.000728456379199149,0.0007120674861090867,0.00022051488286995314,0.0001440832405539819,0.00022875487548884037,0.00014215732675650796,0.00032972506672642956,1
554,2,174,2,7,116,120,4.028865145616989e-05,3.612612052042559e-05,0.0062474107209600305,0.0007276125404381404,0.0007111460118291363,0.00022029062720332315,0.00014380447877845604,0.00022785052313176987,0.000142373231188663,0.00033035764298147924,1
555,2,175,2,7,116,120,4.026591986361608e-05,3.610133327702191e-05,0.0062474010959661765,0.0007267699859202734,0.0007102258730218305,0.0002200668390348484,0.00014352393372474593,0.00022695028210458984,0.00014258024959182264,0.0003309680919968429,1
